"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, comments and shares",Reactions,Comments,Shares,"Total clicks","Link clicks","Other clicks","Matched audience targeting consumption (Photo Click)","Matched audience targeting consumption (Video Click)","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
1442177534622812,100064917362794,"Virtu Ferries Ltd.","𝗦𝘁𝗮𝗿𝘁 𝗲𝗮𝗿𝗹𝘆. 𝗠𝗮𝗸𝗲 𝘁𝗵𝗲 𝗱𝗮𝘆 𝗰𝗼𝘂𝗻𝘁.

With June Day Trip Offers available, this is a good week to check the schedule",,0,"06/13/2026 00:00",N/A,https://www.facebook.com/virtuferries/posts/pfbid0wopFSGpc19B98T6kRcmGAfDTLkLHv84Gpgcr4z8J3kHEycvarNdfmmBBR4Ro9kNXl,0,0,Photos,,,,,Lifetime,3040,2006,14,12,1,1,47,,9,38,,,,,,
1443165731190659,100064917362794,"Virtu Ferries Ltd.","3 restaurants in Pozzallo worth trying before you leave. 🍝

Save this and thank us later.",,0,"06/14/2026 03:00",N/A,https://www.facebook.com/virtuferries/posts/pfbid02tLyczLxuJFvqi2TzJhM5erSsAX5TD93NWWD9su7ZobXUuxRbRXwaV8f7moW76ViEl,0,0,Photos,,,,,Lifetime,82449,52939,56,51,0,5,622,70,116,436,,,,,,
1444327311074501,100064917362794,"Virtu Ferries Ltd.",,,0,"06/15/2026 08:59",N/A,https://www.facebook.com/virtuferries/posts/pfbid07YykMY7ZaznkkJWcSbFdXxvBQoHM6c1o2WTRE9uzHRycztEY7RKmrEVLzb6zBomKl,0,1,Photos,,,,,Lifetime,1126,699,4,3,0,1,14,,3,11,,,,,,
1444967194343846,100064917362794,"Virtu Ferries Ltd.","📅 𝗟𝗼𝗼𝗸𝗶𝗻𝗴 𝗳𝗼𝗿 𝗻𝗲𝘄 𝗶𝗱𝗲𝗮𝘀 𝗳𝗼𝗿 𝘆𝗼𝘂𝗿 𝗵𝗼𝗺𝗲?

Join us at the Virtu Ferries Passenger Terminal, Marsa, where Inventa Malta will be hosting an exclusive furniture exhibition on 19th, 20th and 21st June.

We look forward to welcoming you at our terminal.","📅 𝗟𝗼𝗼𝗸𝗶𝗻𝗴 𝗳𝗼𝗿 𝗻𝗲𝘄 𝗶𝗱𝗲𝗮𝘀 𝗳𝗼𝗿 𝘆𝗼𝘂𝗿 𝗵𝗼𝗺𝗲?

Join us at the Virtu Ferries Passenger Terminal, Marsa, where Inventa Malta will be hosting an exclusive furniture exhibition on 19th, 20th and 21st June.

We look forward to welcoming you at our terminal.",44,"06/16/2026 03:36",N/A,https://www.facebook.com/reel/1023355750190215/,0,0,Videos,,,,,Lifetime,26182,3532,41,29,8,4,83,,83,,,156432.732,8.676,0,0,0
1445723930934839,100064917362794,"Virtu Ferries Ltd.","☀️ 𝗗𝗮𝘆 𝗧𝗿𝗶𝗽 𝗢𝗳𝗳𝗲𝗿: 𝗦𝘂𝗺𝗺𝗲𝗿 𝟮𝟬𝟮𝟲

Our Day Trip Offer is available from 1 June to 30 September 2026, with weekday and Saturday options.

𝗝𝘂𝗻𝗲 & 𝗦𝗲𝗽𝘁𝗲𝗺𝗯𝗲𝗿
Adults Monday to Friday: €71.60
Children Monday to Friday: €42.60
Adults Saturday: €92.60
Children Saturday: €62.60

𝗝𝘂𝗹𝘆 & 𝗔𝘂𝗴𝘂𝘀𝘁
Adults Monday to Friday: €82.60
Children Monday to Friday: €42.60
Adults Saturday: €101.60
Children Saturday: €62.60

ℹ️ Valid for Malta to Pozzallo return trips.
ℹ️ Excludes 29 June, 15 August, 8 September, and 21 September.
ℹ️ Terms and conditions apply.

Book your summer day trip today.","☀️ 𝗗𝗮𝘆 𝗧𝗿𝗶𝗽 𝗢𝗳𝗳𝗲𝗿: 𝗦𝘂𝗺𝗺𝗲𝗿 𝟮𝟬𝟮𝟲

Our Day Trip Offer is available from 1 June to 30 September 2026, with weekday and Saturday options.

𝗝𝘂𝗻𝗲 & 𝗦𝗲𝗽𝘁𝗲𝗺𝗯𝗲𝗿
Adults Monday to Friday: €71.60
Children Monday to Friday: €42.60
Adults Saturday: €92.60
Children Saturday: €62.60

𝗝𝘂𝗹𝘆 & 𝗔𝘂𝗴𝘂𝘀𝘁
Adults Monday to Friday: €82.60
Children Monday to Friday: €42.60
Adults Saturday: €101.60
Children Saturday: €62.60

ℹ️ Valid for Malta to Pozzallo return trips.
ℹ️ Excludes 29 June, 15 August, 8 September, and 21 September.
ℹ️ Terms and conditions apply.

Book your summer day trip today.",7,"06/17/2026 00:00",N/A,https://www.facebook.com/reel/786509891122898/,1,0,Videos,,,,,Lifetime,234910,72167,67,64,1,2,911,115,490,,306,366337.627,1.694,0,0,0
1446743054166260,100064917362794,"Virtu Ferries Ltd.","🤝 Join Our Team!

Virtu Ferries is seeking to recruit Full-Time Reservations & Front Office Clerk.

If you fancy embarking on an exciting new journey, send your CV to admin@virtuferries.com by not later than 15.07.26.",,0,"06/18/2026 04:32",N/A,https://www.facebook.com/virtuferries/posts/pfbid0pJcYPsqpHmijUxAeexAdqxsHyNNiVPTxi346L2evuYMjP17m7FJ4jQrzV8PrTwuul,0,0,Photos,,,,,Lifetime,57120,32297,65,54,3,8,353,,270,83,,,,,,
1447554824085083,100064917362794,"Virtu Ferries Ltd.","✨ 𝗕𝘂𝘀𝘆 𝗺𝗼𝗿𝗻𝗶𝗻𝗴 𝗮𝘁 𝘁𝗵𝗲 𝗩𝗶𝗿𝘁𝘂 𝗙𝗲𝗿𝗿𝗶𝗲𝘀 𝗕𝘂𝘀𝗶𝗻𝗲𝘀𝘀 𝗖𝗲𝗻𝘁𝗿𝗲! 

The Gruppo Inventa Furniture Exhibition is attracting interest, with visitors continuously arriving to meet the Gruppo Inventa team and explore a wide range of stylish indoor and outdoor furniture solutions.

📍 The exhibition remains open until Sunday, so there is still time to visit, discover the latest collections, and speak directly with the expert designers from Gruppo Inventa.

We look forward to welcoming you to the Virtu Ferries Business Centre",,0,"06/19/2026 03:35",N/A,https://www.facebook.com/virtuferries/posts/pfbid0vFHEXVnYDumwpdwZFF8izXFyRe8vS3zFS4uAgnwUWev4Tjw24HRMyeK8U41Qd5Ycl,0,0,Photos,,,,,Lifetime,9416,6755,25,16,1,8,134,,51,83,,,,,,
1447774530729779,100064917362794,"Virtu Ferries Ltd.","🙌 𝗪𝗲’𝗿𝗲 𝗻𝗼𝘁 𝗮 𝗳𝗼𝗼𝘁𝗯𝗮𝗹𝗹 𝘁𝗲𝗮𝗺, 𝗯𝘂𝘁 𝗲𝘃𝗲𝗿𝘆 𝗰𝗿𝗼𝘀𝘀𝗶𝗻𝗴 𝗻𝗲𝗲𝗱𝘀 𝗮 𝘀𝗾𝘂𝗮𝗱.

From the bridge to the port team, from the crew onboard to those working behind the scenes, a lot happens before Sicily gets closer.","🙌 𝗪𝗲’𝗿𝗲 𝗻𝗼𝘁 𝗮 𝗳𝗼𝗼𝘁𝗯𝗮𝗹𝗹 𝘁𝗲𝗮𝗺, 𝗯𝘂𝘁 𝗲𝘃𝗲𝗿𝘆 𝗰𝗿𝗼𝘀𝘀𝗶𝗻𝗴 𝗻𝗲𝗲𝗱𝘀 𝗮 𝘀𝗾𝘂𝗮𝗱.

From the bridge to the port team, from the crew onboard to those working behind the scenes, a lot happens before Sicily gets closer.",23,"06/19/2026 09:01",N/A,https://www.facebook.com/reel/1701815280971138/,1,0,Videos,,,,,Lifetime,16049,10326,158,146,3,9,192,,192,,,81861.911,6.212,0,0,0
1448290217344877,100064917362794,"Virtu Ferries Ltd.","Weekend plans look better with Sicily in them.

...and with our Peak Season Offers in the mix, there’s one more reason to make it happen.",,0,"06/20/2026 00:00",N/A,https://www.facebook.com/virtuferries/posts/pfbid02R7oK518tux6Q38KyKdpM5rDku3NbN55VGDLYfyDZzJuYd8rLPXDNZi28fEq5XhSql,0,0,Photos,,,,,Lifetime,8367,5847,12,10,1,1,205,,50,155,,,,,,
1449168580590374,100064917362794,"Virtu Ferries Ltd.","Happy Father’s Day to all the dads who somehow always know the way.

We see you ❤️💛💙",,0,"06/21/2026 00:00",N/A,https://www.facebook.com/virtuferries/posts/pfbid0tVVkKNjV9FAPm2D4zxr2t2YPzpJ52E1oECcrs4GUodGvjhveE2ymoFx2tyoYFBKnl,0,0,Photos,,,,,Lifetime,2914,2025,27,25,2,0,22,,18,4,,,,,,
1449299150577317,100064917362794,"Virtu Ferries Ltd.","✨ It was a pleasure welcoming Inventa Design and so many of their clients to the Virtu Ferries Business Centre.

🇮🇹🤝🇲🇹 Another great occasion bringing Italian business and Maltese clients together.

🕓 The exhibition is open today until 16:00.

Gruppo Inventa Gruppo Inventa Malta",,0,"06/21/2026 03:12",N/A,https://www.facebook.com/virtuferries/posts/pfbid02VC8VTaPBuYpRiaGgmWahPQy4bce6tnDHJuHgNNGBjf7G8DZtqdPhPuCyWUuiwaZZl,0,0,Photos,,,,,Lifetime,12028,7764,36,32,2,2,391,,83,308,,,,,,
1450376350469597,100064917362794,"Virtu Ferries Ltd.","Power, speed, and reliability on the water,  that’s Virtu Ferries.","Power, speed, and reliability on the water,  that’s Virtu Ferries.",15,"06/22/2026 07:40",N/A,https://www.facebook.com/reel/955387743553661/,1,0,Videos,,,,,Lifetime,184682,71122,448,421,18,9,810,64,623,,123,549899.46,3.298,0,0,0
1451290043711561,100064917362794,"Virtu Ferries Ltd.","This is Sicily. Less than 2 hours away.","This is Sicily. Less than 2 hours away.",22,"06/23/2026 09:00",N/A,https://www.facebook.com/reel/993378216621819/,1,0,Videos,,,,,Lifetime,270870,86661,158,147,4,7,537,70,271,,196,601155.491,2.357,0,0,0
1452679990239233,100064917362794,"Virtu Ferries Ltd.","𝗔𝗱𝗱𝗶𝘁𝗶𝗼𝗻𝗮𝗹 𝗦𝘂𝗻𝗱𝗮𝘆 𝘁𝗿𝗶𝗽𝘀 𝗼𝗻 𝘀𝗲𝗹𝗲𝗰𝘁𝗲𝗱 𝗱𝗮𝘁𝗲𝘀

Virtu Ferries will operate extra Sunday sailings to accommodate increased demand.

🆕 MLA → POZ: 08:30–10:15
🆕 POZ → MLA: 13:30–15:15

𝗧𝗵𝗲𝘀𝗲 𝗮𝗱𝗱𝗶𝘁𝗶𝗼𝗻𝗮𝗹 𝘁𝗿𝗶𝗽𝘀 𝗮𝗽𝗽𝗹𝘆 𝗼𝗻:

🗓️ Sundays from 5 to 26 July
🗓️ Sunday, 9 August
🗓️ Sundays from 6 to 27 September

Secure your space early and book in advance.",,0,"06/25/2026 01:00",N/A,https://www.facebook.com/virtuferries/posts/pfbid02ikCeFpmYoqEPXCg1FvJucgDFNDHFx2sv5nsShsdwFKhDWYPhUFVT41XiUHdVFvRl,0,0,Photos,,,,,Lifetime,312469,81930,89,88,0,1,339,157,122,60,,,,,,
1453565536817345,100064917362794,"Virtu Ferries Ltd.","𝗘𝘅𝘁𝗿𝗮 𝗦𝗮𝗶𝗹𝗶𝗻𝗴𝘀 𝗼𝗻 𝗦𝘂𝗻𝗱𝗮𝘆, 𝟱𝘁𝗵 𝗝𝘂𝗹𝘆

Due to high demand, Virtu Ferries is adding two extra crossings on 5th July.

🆕 MLA → POZ: 08:30 – 10:15
🆕 POZ → MLA: 13:30 – 15:15

Secure your space early.",,0,"06/26/2026 02:07",N/A,https://www.facebook.com/virtuferries/posts/pfbid02Co8Pzk9jfRtHBtrwJJh2tk4MoqAsE4qyMjSriHUzg2Fb9AUmZy5KSkMsvf5KcdHYl,0,0,Photos,,,,,Lifetime,247728,80262,100,95,1,4,484,162,300,22,,,,,,
1453840923456473,100064917362794,"Virtu Ferries Ltd.","𝗔𝗻𝗼𝘁𝗵𝗲𝗿 𝗯𝘂𝘀𝘆 𝘀𝘂𝗺𝗺𝗲𝗿’𝘀 𝗱𝗮𝘆 𝗮𝘁 𝘀𝗲𝗮.

With 8 scheduled crossings today between Malta and Pozzallo operated by our state-of-the-art vessels, we’re proud to help thousands of passengers making the most of their holidays.

Thank you for choosing Virtu Ferries, once again.","𝗔𝗻𝗼𝘁𝗵𝗲𝗿 𝗯𝘂𝘀𝘆 𝘀𝘂𝗺𝗺𝗲𝗿’𝘀 𝗱𝗮𝘆 𝗮𝘁 𝘀𝗲𝗮.

With 8 scheduled crossings today between Malta and Pozzallo operated by our state-of-the-art vessels, we’re proud to help thousands of passengers making the most of their holidays.

Thank you for choosing Virtu Ferries, once again.",16,"06/26/2026 08:58",N/A,https://www.facebook.com/reel/1052877273856970/,0,0,Videos,,,,,Lifetime,15797,11182,156,143,4,9,123,,123,,,65620.871,5.084,0,0,0
1454376076736291,100064917362794,"Virtu Ferries Ltd.","☀️𝗧𝗵𝗲 𝗹𝗼𝗻𝗴 𝘄𝗲𝗲𝗸𝗲𝗻𝗱 𝗶𝘀 𝗱𝗼𝗶𝗻𝗴 𝗶𝘁𝘀 𝗽𝗮𝗿𝘁.

Now pick the crossing that makes Sicily happen.

This week’s schedule is live.",,0,"06/27/2026 00:00",N/A,https://www.facebook.com/virtuferries/posts/pfbid02osVct3MVL9wCmxHxd65GAWs8y3fL5P12xWqM1fEPYxBFc7V138jEGUdmNRjtVoNrl,0,0,Photos,,,,,Lifetime,4526,2933,17,15,1,1,77,,19,58,,,,,,
1455342969972935,100064917362794,"Virtu Ferries Ltd.","🎥 Meet the Team: Mary Iemmolo

Say hello to Mary Iemmolo, our experienced Reservations Supervisor based at our Pozzallo office.

With a passion for customer service and a talent for organisation, Mary oversees the reservations process, supports passengers with their travel plans, and helps keep operations running smoothly behind the scenes.","🎥 Meet the Team: Mary Iemmolo

Say hello to Mary Iemmolo, our experienced Reservations Supervisor based at our Pozzallo office.

With a passion for customer service and a talent for organisation, Mary oversees the reservations process, supports passengers with their travel plans, and helps keep operations running smoothly behind the scenes.",92,"06/28/2026 03:00",N/A,https://www.facebook.com/reel/1743247243363843/,1,0,Videos,,,,,Lifetime,24939,9600,187,165,21,1,457,1,456,,,165250.681,8.44,0,0,0
1456211529886079,100064917362794,"Virtu Ferries Ltd.","In just six days, Virtu Ferries has carried over 13,000 passengers, more than 2,500 vehicles, and hundreds of tonnes of essential goods across the Malta–Sicily route.

These numbers reflect the trust thousands of people continue to place in us, and we are grateful to every passenger and business that chooses Virtu Ferries.

As Malta’s leading ferry operator since 1988, we know our responsibility extends beyond getting people from A to B. Decades of experience do not mean we stop improving. We remain committed to listening, learning, and continuously raising the standard of our service with every crossing.

Thank you for your continued trust and support.

The Virtu Ferries Team",,0,"06/29/2026 01:54",N/A,https://www.facebook.com/virtuferries/posts/pfbid0yiZ7bn85NVic5LtEW1Gx5dTA6MocW1UQPvvX6M5s7ZPfMNqAiNqHK65whjsbGc5kl,0,0,Photos,,,,,Lifetime,308179,92231,275,233,35,7,2418,324,2009,85,,,,,,
1457394073101158,100064917362794,"Virtu Ferries Ltd.","𝗩𝗮𝗰𝗮𝗻𝗰𝘆: 𝗔𝘀𝘀𝗶𝘀𝘁𝗮𝗻𝘁 𝘁𝗼 𝘁𝗵𝗲 𝗖𝗿𝗲𝘄𝗶𝗻𝗴 𝗠𝗮𝗻𝗮𝗴𝗲𝗿

Our ship management company, TankShip Management, is currently looking to recruit an Assistant to the Crewing Manager. The role will support daily crewing operations, including seafarer recruitment, documentation, travel arrangements, certification checks, employment agreements, crew records, and other crewing requirements.

👉𝗙𝘂𝗹𝗹 𝗷𝗼𝗯 𝗼𝗻: https://keepmeposted.com.mt/jobs/Virtu-Ferries-Personal-Assistant-KMP108233

📧Candidates may send their CV to: gmallia@tankshipmanagement.com",,0,"06/30/2026 09:01",N/A,https://www.facebook.com/virtuferries/posts/pfbid02y6x7LVBPHnniTwC56Nwi3GyTo2GaWqBUrFD2z1s17x22AvMTkmyNCk1kAhonJmBfl,0,0,Photos,,,,,Lifetime,16280,11708,30,29,0,1,403,121,215,67,,,,,,
1431456385694927,100064917362794,"Virtu Ferries Ltd.","Virtu Ferries Ltd. updated their cover photo.",,0,"06/01/2026 01:46",N/A,https://www.facebook.com/photo.php?fbid=1431456385694927&set=a.494958069344768&type=3,0,0,Photos,,,,,Lifetime,439,211,36,29,3,4,31,,13,18,,,,,,
1432406148933284,100064917362794,"Virtu Ferries Ltd.","📆 𝗘𝗫𝗧𝗥𝗔 𝗧𝗥𝗜𝗣𝗦 – Friday 26th and Tuesday 30th June

Due to popular demand, we’ve added extra sailings, giving you more flexibility to plan your trip.

𝗧𝗵𝗲 𝗮𝗱𝗱𝗶𝘁𝗶𝗼𝗻𝗮𝗹 𝗱𝗲𝗽𝗮𝗿𝘁𝘂𝗿𝗲𝘀 𝗶𝗻𝗰𝗹𝘂𝗱𝗲:

Friday 26th June
* Dep. MLA 11:30 hrs → Arr. POZ 13:15 hrs (extra)
* Dep. POZ 14:15 hrs → Arr. MLA 16:00 hrs (extra)

Tuesday 30th June
* Dep. POZ 13:30 hrs → Arr. MLA 15:15 hrs (extra)
* Dep. MLA 18:00 hrs → Arr. POZ 19:45 hrs (extra)

Seats are limited, so early booking is highly recommended. 🚢✨",,0,"06/02/2026 02:34",N/A,https://www.facebook.com/virtuferries/posts/pfbid02bc6jHs1Zw2ro98e1CFkGmXB1HhiJEUU9URFYY81GbwAt8srSqkaPSvzFH9YqcWLyl,0,0,Photos,,,,,Lifetime,176143,74078,45,43,1,1,452,162,260,30,,,,,,
